XM_011413955	GO:0033588~Elongator holoenzyme complex
XM_011453612	GO:0019028~viral capsid
XM_011453611	GO:0019028~viral capsid
XM_011453865	GO:0030529~intracellular ribonucleoprotein complex
XM_011453946	GO:0016471~vacuolar proton-transporting V-type ATPase complex
XM_011454123	GO:0070469~respiratory chain
FJ872817	GO:0019866~organelle inner membrane
XM_011454629	GO:0044423~virion part
XM_011451302	GO:0030286~dynein complex
XM_011451302	GO:0005875~microtubule associated complex
XM_011451755	GO:0005874~microtubule
XM_011451859	GO:0030136~clathrin-coated vesicle
XM_011452006	GO:0005576~extracellular region
XM_011452029	GO:0098794~postsynapse
XM_011452036	GO:0045211~postsynaptic membrane
XM_011452035	GO:0098590~plasma membrane region
XM_011452032	GO:0045202~synapse
XM_011452035	GO:0045202~synapse
XM_011452064	GO:0031012~extracellular matrix
AB106142	GO:0031012~extracellular matrix
XM_011452440	GO:0030529~intracellular ribonucleoprotein complex
HM992925	GO:0044421~extracellular region part
XM_011453223	GO:0044451~nucleoplasm part
XM_011453221	GO:0000123~histone acetyltransferase complex
XM_011453817	GO:0005739~mitochondrion
XM_011453904	GO:0031514~motile cilium
XM_011453946	GO:0033176~proton-transporting V-type ATPase complex
XM_011454123	GO:0044429~mitochondrial part
FJ872817	GO:0031967~organelle envelope
NM_001305290	GO:0031967~organelle envelope
XM_011454321	GO:0048500~signal recognition particle
XM_011454629	GO:1990904~ribonucleoprotein complex
XM_011454804	GO:0000502~proteasome complex
XM_011455674	GO:0034703~cation channel complex
XM_011456098	GO:0044427~chromosomal part
XM_011456173	GO:0031012~extracellular matrix
XM_011456384	GO:0099513~polymeric cytoskeletal fiber
XM_011456571	GO:0016282~eukaryotic 43S preinitiation complex
AB199895	GO:0005840~ribosome
AJ563480	GO:0030529~intracellular ribonucleoprotein complex
XM_011457818	GO:0005783~endoplasmic reticulum
NM_001305314	GO:1990904~ribonucleoprotein complex
XM_011457920	GO:0030054~cell junction
XM_011457920	GO:0045211~postsynaptic membrane
XM_011457920	GO:0097060~synaptic membrane
XM_011458227	GO:0070603~SWI/SNF superfamily-type complex
XM_011458560	GO:0031967~organelle envelope
XM_011458601	GO:0034702~ion channel complex
XM_011455674	GO:0031226~intrinsic component of plasma membrane
XM_011456868	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
XM_011457552	GO:0005732~small nucleolar ribonucleoprotein complex
XM_011457818	GO:0044432~endoplasmic reticulum part
XM_011457830	GO:0015935~small ribosomal subunit
XM_011458601	GO:1902495~transmembrane transporter complex
XM_011435914	GO:0019008~molybdopterin synthase complex
XM_011435914	GO:0005829~cytosol
XM_011414117	GO:1902554~serine/threonine protein kinase complex
XM_011414138	GO:0005869~dynactin complex
XM_011414346	GO:0031975~envelope
XM_011414346	GO:0044429~mitochondrial part
XM_011414366	GO:0005794~Golgi apparatus
XM_011414689	GO:0005885~Arp2/3 protein complex
XM_011415016	GO:0005846~nuclear cap binding complex
XM_011415105	GO:0044432~endoplasmic reticulum part
XM_011415103	GO:0005783~endoplasmic reticulum
XM_011415110	GO:0005789~endoplasmic reticulum membrane
XM_011415111	GO:0005789~endoplasmic reticulum membrane
XM_011415106	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
XM_011415309	GO:1902495~transmembrane transporter complex
XM_011415316	GO:1902495~transmembrane transporter complex
XM_011415311	GO:1990351~transporter complex
XM_011415309	GO:0008076~voltage-gated potassium channel complex
XM_011415309	GO:0034702~ion channel complex
XM_011415315	GO:0034702~ion channel complex
XM_011415317	GO:0005887~integral component of plasma membrane
XM_011415310	GO:1902495~transmembrane transporter complex
XM_011415312	GO:1990351~transporter complex
XM_011415312	GO:0008076~voltage-gated potassium channel complex
XM_011415314	GO:0005887~integral component of plasma membrane
XM_011415314	GO:0008076~voltage-gated potassium channel complex
XM_011415314	GO:0034705~potassium channel complex
XM_011415319	GO:1902495~transmembrane transporter complex
XM_011415319	GO:0008076~voltage-gated potassium channel complex
XM_011415396	GO:0033180~proton-transporting V-type ATPase, V1 domain
XM_011415396	GO:0005774~vacuolar membrane
XM_011415394	GO:0044437~vacuolar part
XM_011415394	GO:0033176~proton-transporting V-type ATPase complex
XM_011415394	GO:0016471~vacuolar proton-transporting V-type ATPase complex
XM_011416888	GO:1902495~transmembrane transporter complex
XM_011416944	GO:0005777~peroxisome
XM_011417499	GO:0016514~SWI/SNF complex
XM_011417188	GO:0016514~SWI/SNF complex
XM_011415510	GO:0031967~organelle envelope
XM_011415868	GO:0030896~checkpoint clamp complex
XM_011415906	GO:0005819~spindle
XM_011415907	GO:0000777~condensed chromosome kinetochore
XM_011415907	GO:0098687~chromosomal region
XM_011415907	GO:0000776~kinetochore
XM_011416540	GO:0044429~mitochondrial part
XM_011416540	GO:0005743~mitochondrial inner membrane
XM_011416888	GO:1990351~transporter complex
XM_011417129	GO:0031967~organelle envelope
XM_011417129	GO:0031970~organelle envelope lumen
XM_011417264	GO:0090544~BAF-type complex
XM_011417577	GO:0090544~BAF-type complex
XM_011417480	GO:1990904~ribonucleoprotein complex
XM_011417663	GO:0098791~Golgi subcompartment
XM_011418339	GO:0044427~chromosomal part
XM_011418341	GO:0000786~nucleosome
XM_011418340	GO:0005694~chromosome
XM_011418353	GO:0000786~nucleosome
XM_011418340	GO:0044427~chromosomal part
XM_011418341	GO:0044815~DNA packaging complex
XM_011418342	GO:0044815~DNA packaging complex
XM_011418343	GO:0000786~nucleosome
XM_011418348	GO:0044427~chromosomal part
XM_011418359	GO:0044427~chromosomal part
XM_011418350	GO:0044815~DNA packaging complex
XM_011418350	GO:0044427~chromosomal part
XM_011418354	GO:0000785~chromatin
XM_011419380	GO:0044432~endoplasmic reticulum part
XM_011420341	GO:0010008~endosome membrane
XM_011420341	GO:0034399~nuclear periphery
XM_011421873	GO:0005576~extracellular region
XM_011422048	GO:0031966~mitochondrial membrane
XM_011418758	GO:0000159~protein phosphatase type 2A complex
XM_011418703	GO:0005654~nucleoplasm
XM_011418769	GO:0071203~WASH complex
XM_011418776	GO:0099512~supramolecular fiber
XM_011418776	GO:0005874~microtubule
XM_011419378	GO:0005789~endoplasmic reticulum membrane
XM_011419380	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
XM_011419625	GO:0044423~virion part
XM_011419859	GO:1990904~ribonucleoprotein complex
XM_011420293	GO:0034702~ion channel complex
XM_011420341	GO:0036452~ESCRT complex
XM_011420347	GO:0034703~cation channel complex
XM_011421258	GO:0005911~cell-cell junction
XM_011421261	GO:0005921~gap junction
XM_011421262	GO:0005921~gap junction
XM_011421261	GO:0030054~cell junction
XM_011421758	GO:0005694~chromosome
XM_011422048	GO:0044429~mitochondrial part
XM_011422050	GO:0030529~intracellular ribonucleoprotein complex
XM_011422219	GO:0034705~potassium channel complex
XM_011422227	GO:0030660~Golgi-associated vesicle membrane
XM_011422227	GO:0030663~COPI-coated vesicle membrane
XM_011422503	GO:0000786~nucleosome
XM_011422990	GO:0000785~chromatin
XM_011423389	GO:0005783~endoplasmic reticulum
XM_011424527	GO:0000151~ubiquitin ligase complex
XM_011424595	GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o)
XM_011424595	GO:0044455~mitochondrial membrane part
XM_011424754	GO:0019013~viral nucleocapsid
XM_011424989	GO:0032580~Golgi cisterna membrane
XM_011425153	GO:0045121~membrane raft
XM_011425153	GO:0000139~Golgi membrane
XM_011425153	GO:0098590~plasma membrane region
XM_011425226	GO:0005578~proteinaceous extracellular matrix
XM_011425245	GO:0031968~organelle outer membrane
XM_011422611	GO:0030529~intracellular ribonucleoprotein complex
XM_011422814	GO:0034518~RNA cap binding complex
XM_011423388	GO:0005794~Golgi apparatus
XM_011423421	GO:0030529~intracellular ribonucleoprotein complex
XM_011423421	GO:0044445~cytosolic part
XM_011423421	GO:0015935~small ribosomal subunit
XM_011423579	GO:0015630~microtubule cytoskeleton
XM_011423578	GO:0015630~microtubule cytoskeleton
XM_011423580	GO:0015630~microtubule cytoskeleton
XM_011423657	GO:0000123~histone acetyltransferase complex
XM_011424139	GO:0005840~ribosome
XM_011424157	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
KJ531893	GO:0005576~extracellular region
XM_011424595	GO:0005743~mitochondrial inner membrane
XM_011424715	GO:0044431~Golgi apparatus part
XM_011425161	GO:0043205~fibril
XM_011425146	GO:0005901~caveola
XM_011425146	GO:0098857~membrane microdomain
XM_011425147	GO:0044431~Golgi apparatus part
XM_011425148	GO:0044853~plasma membrane raft
XM_011425148	GO:0098857~membrane microdomain
XM_011425150	GO:0000139~Golgi membrane
XM_011425152	GO:0044431~Golgi apparatus part
XM_011425153	GO:0044853~plasma membrane raft
XM_011425245	GO:0044429~mitochondrial part
XM_011425246	GO:0019867~outer membrane
XM_011425247	GO:0031307~integral component of mitochondrial outer membrane
XM_011425246	GO:0031967~organelle envelope
XM_011425246	GO:0005740~mitochondrial envelope
XM_011425244	GO:0031300~intrinsic component of organelle membrane
XM_011425337	GO:0030684~preribosome
XM_011425423	GO:0016459~myosin complex
XM_011425424	GO:0016459~myosin complex
XM_011425425	GO:0016459~myosin complex
XM_011425625	GO:0034703~cation channel complex
XM_011425604	GO:0031226~intrinsic component of plasma membrane
XM_011425625	GO:0031226~intrinsic component of plasma membrane
XM_011425618	GO:0031226~intrinsic component of plasma membrane
XM_011425625	GO:0005887~integral component of plasma membrane
XM_011425625	GO:0008076~voltage-gated potassium channel complex
XM_011425618	GO:1902495~transmembrane transporter complex
XM_011425612	GO:0008076~voltage-gated potassium channel complex
XM_011425608	GO:0000502~proteasome complex
XM_011426361	GO:0005730~nucleolus
XM_011426529	GO:0005694~chromosome
XM_011427398	GO:0031248~protein acetyltransferase complex
XM_011427418	GO:1990904~ribonucleoprotein complex
XM_011427918	GO:0005815~microtubule organizing center
