XM_011413955	GO:0033588~Elongator holoenzyme complex
XM_011426310	GO:0016021~integral component of membrane
XM_011426455	GO:0016021~integral component of membrane
XM_011426527	GO:0016021~integral component of membrane
XM_011426556	GO:0016021~integral component of membrane
XM_011426709	GO:0016021~integral component of membrane
XM_011426857	GO:0043189~H4/H2A histone acetyltransferase complex
XM_011427418	GO:0005654~nucleoplasm
XM_011427679	GO:0005840~ribosome
XM_011427934	GO:0000786~nucleosome
XM_011428443	GO:0005622~intracellular
EU108717	GO:0005622~intracellular
XM_011429725	GO:0030286~dynein complex
XM_011426787	GO:0005732~small nucleolar ribonucleoprotein complex
XM_011427385	GO:0016021~integral component of membrane
XM_011427491	GO:0016021~integral component of membrane
XM_011427872	GO:0016021~integral component of membrane
XM_011428169	GO:0016021~integral component of membrane
AB516438	GO:0005634~nucleus
XM_011429592	GO:0030132~clathrin coat of coated pit
XM_011429591	GO:0030130~clathrin coat of trans-Golgi network vesicle
XM_011429672	GO:0016021~integral component of membrane
XM_011429695	GO:0016021~integral component of membrane
XM_011429909	GO:0005581~collagen trimer
XM_011429983	GO:0005634~nucleus
XM_011430960	GO:0005874~microtubule
XM_011430976	GO:0005622~intracellular
XM_011430974	GO:0005622~intracellular
XM_011430246	GO:0005852~eukaryotic translation initiation factor 3 complex
XM_011430246	GO:0033290~eukaryotic 48S preinitiation complex
XM_011430692	GO:0016021~integral component of membrane
XM_011430698	GO:0005634~nucleus
NM_001305373	GO:0005737~cytoplasm
XM_011431078	GO:0005737~cytoplasm
XM_011431116	GO:0030127~COPII vesicle coat
XM_011431587	GO:0005737~cytoplasm
XM_011431781	GO:0005887~integral component of plasma membrane
XM_011431779	GO:0005887~integral component of plasma membrane
XM_011432184	GO:0030286~dynein complex
XM_011432183	GO:0030286~dynein complex
XM_011432185	GO:0030286~dynein complex
XM_011431357	GO:0016021~integral component of membrane
XM_011431356	GO:0016021~integral component of membrane
XM_011431366	GO:0016021~integral component of membrane
XM_011431425	GO:0016021~integral component of membrane
XM_011431467	GO:0016021~integral component of membrane
XM_011431497	GO:0005886~plasma membrane
HQ228218	GO:0016021~integral component of membrane
XM_011431767	GO:0016021~integral component of membrane
AM904565	GO:0016021~integral component of membrane
XM_011432093	GO:0016021~integral component of membrane
XM_011432238	GO:0005634~nucleus
XM_011432755	GO:0005622~intracellular
XM_011432758	GO:0005622~intracellular
XM_011433097	GO:0005622~intracellular
XM_011433247	GO:0005622~intracellular
XM_011433734	GO:0016021~integral component of membrane
XM_011433735	GO:0016021~integral component of membrane
XM_011433870	GO:0016021~integral component of membrane
XM_011433905	GO:0005622~intracellular
NM_001305363	GO:0005737~cytoplasm
XM_011434433	GO:0005730~nucleolus
XM_011434436	GO:0005576~extracellular region
EU583802	GO:0005622~intracellular
XM_011432710	GO:0016021~integral component of membrane
XM_011432965	GO:0016021~integral component of membrane
NM_001305307	GO:0005885~Arp2/3 protein complex
XM_011432998	GO:0005737~cytoplasm
XM_011433024	GO:0016021~integral component of membrane
XM_011433099	GO:0005737~cytoplasm
XM_011433224	GO:0016021~integral component of membrane
XM_011433286	GO:0016021~integral component of membrane
XM_011433289	GO:0016021~integral component of membrane
XM_011433818	GO:0016021~integral component of membrane
XM_011433992	GO:0016021~integral component of membrane
XM_011433996	GO:0005634~nucleus
XM_011434565	GO:0016021~integral component of membrane
XM_011434638	GO:0016021~integral component of membrane
XM_011434846	GO:0016021~integral component of membrane
XM_011434845	GO:0016021~integral component of membrane
XM_011435094	GO:0016020~membrane
XM_011435212	GO:0016021~integral component of membrane
XM_011435212	GO:0005604~basement membrane
XM_011435211	GO:0005604~basement membrane
XM_011436587	GO:0005622~intracellular
XM_011437270	GO:0005622~intracellular
XM_011438169	GO:0008076~voltage-gated potassium channel complex
XM_011438260	GO:0005643~nuclear pore
XM_011435753	GO:0016021~integral component of membrane
XM_011435893	GO:0016021~integral component of membrane
XM_011435895	GO:0016021~integral component of membrane
XM_011436075	GO:0016021~integral component of membrane
XM_011436193	GO:0005634~nucleus
XR_900959	GO:0019013~viral nucleocapsid
XM_011436435	GO:0005759~mitochondrial matrix
XM_011436685	GO:0016021~integral component of membrane
XM_011437054	GO:0016021~integral component of membrane
XM_011437067	GO:0016021~integral component of membrane
XM_011437258	GO:0005634~nucleus
XM_011437409	GO:0016021~integral component of membrane
XM_011437413	GO:0016021~integral component of membrane
XM_011437626	GO:0005634~nucleus
XM_011437629	GO:0016021~integral component of membrane
XM_011437631	GO:0016021~integral component of membrane
XM_011437653	GO:0005783~endoplasmic reticulum
XM_011437718	GO:0005901~caveola
XM_011437719	GO:0000139~Golgi membrane
XM_011437719	GO:0005901~caveola
XM_011437786	GO:0016021~integral component of membrane
XM_011437984	GO:0016592~mediator complex
XM_011438068	GO:0016021~integral component of membrane
XM_011438069	GO:0016021~integral component of membrane
XM_011438528	GO:0005622~intracellular
XM_011439114	GO:0005576~extracellular region
XM_011439275	GO:0005737~cytoplasm
XM_011440021	GO:0016020~membrane
XM_011440257	GO:0005622~intracellular
XM_011439060	GO:0016021~integral component of membrane
XM_011439300	GO:0016021~integral component of membrane
XM_011439814	GO:0005634~nucleus
XM_011440114	GO:0030131~clathrin adaptor complex
XM_011440114	GO:0005802~trans-Golgi network
XM_011440466	GO:0016021~integral component of membrane
XM_011440543	GO:0030133~transport vesicle
XM_011440673	GO:0005622~intracellular
XM_011440937	GO:0005622~intracellular
XM_011440936	GO:0005622~intracellular
XM_011441890	GO:0005737~cytoplasm
XM_011441928	GO:0016020~membrane
XM_011441932	GO:0016020~membrane
XM_011442148	GO:0005622~intracellular
XM_011442784	GO:0005737~cytoplasm
XM_011442944	GO:0005667~transcription factor complex
XM_011443223	GO:0005737~cytoplasm
XM_011443879	GO:0005740~mitochondrial envelope
XM_011443901	GO:0005622~intracellular
XM_011443908	GO:0005622~intracellular
XM_011440581	GO:0005623~cell
XM_011440589	GO:0016021~integral component of membrane
XM_011440892	GO:0016021~integral component of membrane
XM_011441351	GO:0005921~gap junction
XM_011441353	GO:0016021~integral component of membrane
AB262086	GO:0005783~endoplasmic reticulum
XM_011441599	GO:0016021~integral component of membrane
XM_011441722	GO:0016021~integral component of membrane
XM_011441881	GO:0016021~integral component of membrane
XM_011442068	GO:0005634~nucleus
XM_011442067	GO:0005634~nucleus
XM_011442525	GO:0016021~integral component of membrane
XM_011442704	GO:0016021~integral component of membrane
XM_011442703	GO:0016021~integral component of membrane
XM_011442894	GO:0016021~integral component of membrane
XM_011443122	GO:0016021~integral component of membrane
XM_011443223	GO:0005634~nucleus
XM_011443516	GO:0016021~integral component of membrane
XM_011443506	GO:0016021~integral component of membrane
XM_011443520	GO:0000502~proteasome complex
XM_011443529	GO:0016021~integral component of membrane
XM_011443536	GO:0000786~nucleosome
XM_011443586	GO:0016021~integral component of membrane
XM_011443719	GO:0005667~transcription factor complex
XM_011443764	GO:0016021~integral component of membrane
XM_011443978	GO:0016021~integral component of membrane
XM_011444125	GO:0005634~nucleus
XM_011444431	GO:0005840~ribosome
XM_011444720	GO:0005737~cytoplasm
XM_011444821	GO:0016021~integral component of membrane
XM_011444151	GO:0016592~mediator complex
XM_011444202	GO:0016021~integral component of membrane
AB262088	GO:0016021~integral component of membrane
XM_011444609	GO:0016021~integral component of membrane
XM_011444791	GO:0031514~motile cilium
XM_011444841	GO:0016020~membrane
XM_011444841	GO:0005578~proteinaceous extracellular matrix
XM_011444842	GO:0005576~extracellular region
XM_011444924	GO:0016021~integral component of membrane
XM_011444986	GO:0005622~intracellular
XM_011445101	GO:0016021~integral component of membrane
XR_901987	GO:0016021~integral component of membrane
XM_011445008	GO:0016021~integral component of membrane
XM_011445009	GO:0016021~integral component of membrane
XM_011445098	GO:0016021~integral component of membrane
XM_011445120	GO:0005622~intracellular
XM_011445299	GO:0005622~intracellular
XM_011445505	GO:0016020~membrane
XM_011445879	GO:0005737~cytoplasm
XM_011446471	GO:0005622~intracellular
XM_011446495	GO:0005622~intracellular
FJ669295	GO:0005856~cytoskeleton
XM_011447553	GO:0005737~cytoplasm
XM_011448054	GO:0016021~integral component of membrane
XM_011448379	GO:0016021~integral component of membrane
XM_011448523	GO:0016021~integral component of membrane
NM_001305337	GO:0005634~nucleus
XM_011445333	GO:0016021~integral component of membrane
XM_011445448	GO:0005887~integral component of plasma membrane
XM_011445538	GO:0005887~integral component of plasma membrane
XM_011445847	GO:0005634~nucleus
XM_011445990	GO:0016021~integral component of membrane
XM_011446261	GO:0016021~integral component of membrane
XM_011446263	GO:0016021~integral component of membrane
NM_001308895	GO:0016021~integral component of membrane
FJ669289	GO:0005737~cytoplasm
FJ669287	GO:0005737~cytoplasm
XM_011446558	GO:0016021~integral component of membrane
XM_011446687	GO:0016021~integral component of membrane
XM_011446733	GO:0016021~integral component of membrane
XM_011446860	GO:0005634~nucleus
XM_011447074	GO:0016021~integral component of membrane
XM_011447087	GO:0016021~integral component of membrane
XM_011447306	GO:0000502~proteasome complex
XM_011447780	GO:0005777~peroxisome
XM_011447801	GO:0016021~integral component of membrane
XM_011447796	GO:0016021~integral component of membrane
XM_011447831	GO:0016021~integral component of membrane
XM_011447863	GO:0005634~nucleus
XM_011447936	GO:0005622~intracellular
XM_011447973	GO:0016021~integral component of membrane
XM_011448076	GO:0034464~BBSome
XM_011448475	GO:0016021~integral component of membrane
XM_011448516	GO:0016021~integral component of membrane
FJ347727	GO:0005737~cytoplasm
FJ347726	GO:0005737~cytoplasm
FJ347730	GO:0005737~cytoplasm
FJ347733	GO:0005737~cytoplasm
FJ347753	GO:0005737~cytoplasm
FJ347744	GO:0005737~cytoplasm
FJ347749	GO:0005737~cytoplasm
XM_011449511	GO:0005737~cytoplasm
XM_011448652	GO:0016021~integral component of membrane
XM_011448801	GO:0000439~core TFIIH complex
XM_011448812	GO:0016020~membrane
XM_011448849	GO:0016021~integral component of membrane
XM_011448952	GO:0016021~integral component of membrane
XM_011449425	GO:0030132~clathrin coat of coated pit
XM_011449502	GO:0016021~integral component of membrane
XM_011449511	GO:0005885~Arp2/3 protein complex
XM_011449582	GO:0033557~Slx1-Slx4 complex
AJ563459	GO:0005840~ribosome
XM_011449691	GO:0016021~integral component of membrane
XM_011449760	GO:0005634~nucleus
XM_011449779	GO:0016021~integral component of membrane
XM_011450006	GO:0016021~integral component of membrane
XM_011451256	GO:0005622~intracellular
XM_011451502	GO:0016021~integral component of membrane
XM_011451542	GO:0005622~intracellular
XM_011451894	GO:0005622~intracellular
XM_011452006	GO:0005576~extracellular region
XM_011452036	GO:0045211~postsynaptic membrane
XM_011450088	GO:0005622~intracellular
AY321300	GO:0005623~cell
XM_011450379	GO:0016021~integral component of membrane
XM_011450623	GO:0016021~integral component of membrane
XM_011450792	GO:0030529~intracellular ribonucleoprotein complex
XM_011450870	GO:0016021~integral component of membrane
XM_011451086	GO:0005643~nuclear pore
XM_011451122	GO:0016021~integral component of membrane
XM_011451244	GO:0016021~integral component of membrane
XM_011451302	GO:0030286~dynein complex
XM_011451661	GO:0016021~integral component of membrane
XM_011451755	GO:0005874~microtubule
XM_011451779	GO:0016021~integral component of membrane
XM_011451859	GO:0030136~clathrin-coated vesicle
XM_011452031	GO:0045211~postsynaptic membrane
XM_011452064	GO:0031012~extracellular matrix
AB106142	GO:0031012~extracellular matrix
XM_011452286	GO:0005783~endoplasmic reticulum
XM_011452560	GO:0016021~integral component of membrane
XM_011452558	GO:0016021~integral component of membrane
XM_011452608	GO:0016021~integral component of membrane
HQ144188	GO:0005622~intracellular
XM_011452857	GO:0005789~endoplasmic reticulum membrane
XM_011453121	GO:0016021~integral component of membrane
XM_011453124	GO:0016021~integral component of membrane
XM_011453123	GO:0016021~integral component of membrane
XM_011453188	GO:0005737~cytoplasm
XM_011453221	GO:0000123~histone acetyltransferase complex
XM_011453240	GO:0016021~integral component of membrane
XM_011453345	GO:0016021~integral component of membrane
XM_011453285	GO:0005634~nucleus
XM_011453817	GO:0005739~mitochondrion
XM_011453946	GO:0016471~vacuolar proton-transporting V-type ATPase complex
XM_011453564	GO:0005622~intracellular
XM_011453865	GO:0030529~intracellular ribonucleoprotein complex
XM_011453904	GO:0031514~motile cilium
XM_011453916	GO:0016021~integral component of membrane
XM_011453976	GO:0016021~integral component of membrane
XM_011453979	GO:0005622~intracellular
XM_011454117	GO:0016021~integral component of membrane
XM_011454118	GO:0016021~integral component of membrane
XM_011454114	GO:0016021~integral component of membrane
XM_011454123	GO:0070469~respiratory chain
XM_011454138	GO:0016021~integral component of membrane
XM_011454321	GO:0048500~signal recognition particle
XM_011454969	GO:0005737~cytoplasm
XM_011455641	GO:0005622~intracellular
XM_011456115	GO:0005622~intracellular
XM_011456250	GO:0016021~integral component of membrane
XM_011456249	GO:0016021~integral component of membrane
XM_011456384	GO:0005737~cytoplasm
XM_011456571	GO:0016282~eukaryotic 43S preinitiation complex
XM_011456684	GO:0005622~intracellular
XM_011457046	GO:0005737~cytoplasm
XM_011457504	GO:0016020~membrane
XM_011454366	GO:0016021~integral component of membrane
XM_011454478	GO:0005622~intracellular
XM_011454619	GO:0016021~integral component of membrane
XM_011454846	GO:0016021~integral component of membrane
XM_011454888	GO:0005634~nucleus
XM_011455028	GO:0016021~integral component of membrane
XM_011455046	GO:0016021~integral component of membrane
XM_011455370	GO:0005623~cell
NM_001308879	GO:0005623~cell
XM_011455590	GO:0005737~cytoplasm
NM_001308855	GO:0005622~intracellular
XM_011456050	GO:0005634~nucleus
XM_011456224	GO:0016021~integral component of membrane
XM_011456343	GO:0016021~integral component of membrane
XM_011456381	GO:0005634~nucleus
XM_011456380	GO:0005634~nucleus
XM_011456676	GO:0016021~integral component of membrane
XM_011456689	GO:0016021~integral component of membrane
XM_011456961	GO:0016021~integral component of membrane
XM_011456963	GO:0016021~integral component of membrane
AB199895	GO:0005840~ribosome
XM_011457154	GO:0016021~integral component of membrane
XM_011457552	GO:0005732~small nucleolar ribonucleoprotein complex
XM_011457811	GO:0016021~integral component of membrane
XM_011457920	GO:0030054~cell junction
XM_011457830	GO:0015935~small ribosomal subunit
XM_011457920	GO:0045211~postsynaptic membrane
XM_011457957	GO:0016021~integral component of membrane
XM_011458051	GO:0016021~integral component of membrane
XM_011458186	GO:0016021~integral component of membrane
XM_011458186	GO:0005886~plasma membrane
XM_011458608	GO:0005622~intracellular
XM_011458830	GO:0005622~intracellular
XM_011458541	GO:0016021~integral component of membrane
XM_011458602	GO:0016021~integral component of membrane
XM_011458949	GO:0016021~integral component of membrane
XM_011435914	GO:0019008~molybdopterin synthase complex
XM_011435914	GO:0005829~cytosol
XM_011413692	GO:0016021~integral component of membrane
XM_011413731	GO:0005634~nucleus
XM_011413845	GO:0005622~intracellular
XM_011414138	GO:0005869~dynactin complex
XM_011414107	GO:0016021~integral component of membrane
XM_011414150	GO:0005634~nucleus
XM_011414315	GO:0016021~integral component of membrane
XM_011414358	GO:0016021~integral component of membrane
XM_011414489	GO:0016021~integral component of membrane
XM_011414494	GO:0005634~nucleus
XM_011414677	GO:0005622~intracellular
XM_011414689	GO:0005885~Arp2/3 protein complex
XM_011414719	GO:0016021~integral component of membrane
XM_011415016	GO:0005846~nuclear cap binding complex
XM_011415038	GO:0005634~nucleus
XM_011415110	GO:0005789~endoplasmic reticulum membrane
XM_011415111	GO:0005789~endoplasmic reticulum membrane
XM_011415128	GO:0016021~integral component of membrane
XM_011415309	GO:0008076~voltage-gated potassium channel complex
XM_011415312	GO:0008076~voltage-gated potassium channel complex
XM_011415314	GO:0008076~voltage-gated potassium channel complex
XM_011415319	GO:0008076~voltage-gated potassium channel complex
XM_011415469	GO:0005622~intracellular
XM_011415600	GO:0016021~integral component of membrane
XM_011415666	GO:0016021~integral component of membrane
XM_011415693	GO:0016021~integral component of membrane
XM_011415746	GO:0005856~cytoskeleton
XM_011415748	GO:0016021~integral component of membrane
XM_011415752	GO:0016021~integral component of membrane
NM_001308908	GO:0005737~cytoplasm
XM_011415809	GO:0016021~integral component of membrane
XM_011415868	GO:0030896~checkpoint clamp complex
XM_011416001	GO:0005622~intracellular
XM_011416429	GO:0005737~cytoplasm
XM_011416986	GO:0016021~integral component of membrane
XM_011417845	GO:0005622~intracellular
XM_011418307	GO:0005622~intracellular
XM_011416159	GO:0005622~intracellular
XM_011416459	GO:0005634~nucleus
XM_011416541	GO:0005622~intracellular
XM_011416830	GO:0005622~intracellular
XM_011416703	GO:0016021~integral component of membrane
XM_011416759	GO:0016021~integral component of membrane
XM_011416837	GO:0016021~integral component of membrane
XM_011416907	GO:0016021~integral component of membrane
XM_011416944	GO:0005777~peroxisome
XM_011417080	GO:0016021~integral component of membrane
XM_011417499	GO:0016514~SWI/SNF complex
XM_011417188	GO:0016514~SWI/SNF complex
XM_011417643	GO:0005634~nucleus
XM_011417700	GO:0016021~integral component of membrane
XM_011417883	GO:0016021~integral component of membrane
XM_011417926	GO:0016021~integral component of membrane
XM_011417935	GO:0016021~integral component of membrane
XM_011418004	GO:0016021~integral component of membrane
XM_011418005	GO:0016021~integral component of membrane
XM_011418117	GO:0005622~intracellular
XM_011418170	GO:0016021~integral component of membrane
XM_011418337	GO:0005634~nucleus
XM_011418341	GO:0000786~nucleosome
XM_011418343	GO:0000786~nucleosome
XM_011418351	GO:0005634~nucleus
XM_011418353	GO:0000786~nucleosome
XM_011418776	GO:0005874~microtubule
XM_011418832	GO:0005622~intracellular
XM_011419275	GO:0005737~cytoplasm
XM_011419274	GO:0005622~intracellular
XM_011421252	GO:0016021~integral component of membrane
XM_011418435	GO:0016021~integral component of membrane
XM_011418721	GO:0016021~integral component of membrane
XM_011418720	GO:0016021~integral component of membrane
XM_011418758	GO:0000159~protein phosphatase type 2A complex
XM_011418769	GO:0071203~WASH complex
XM_011418770	GO:0005622~intracellular
XM_011418827	GO:0016021~integral component of membrane
XM_011418860	GO:0016021~integral component of membrane
XM_011418998	GO:0016021~integral component of membrane
XM_011419041	GO:0005622~intracellular
XM_011419319	GO:0016021~integral component of membrane
XM_011419358	GO:0016021~integral component of membrane
XM_011419361	GO:0016021~integral component of membrane
XM_011419378	GO:0005789~endoplasmic reticulum membrane
XM_011419504	GO:0016021~integral component of membrane
XM_011419599	GO:0016021~integral component of membrane
XM_011419688	GO:0016021~integral component of membrane
XM_011419781	GO:0016021~integral component of membrane
XM_011419842	GO:0016021~integral component of membrane
XM_011420407	GO:0016021~integral component of membrane
XR_899064	GO:0016021~integral component of membrane
XM_011420499	GO:0016021~integral component of membrane
XM_011420513	GO:0005622~intracellular
XM_011420673	GO:0016021~integral component of membrane
XM_011421142	GO:0016021~integral component of membrane
XM_011421165	GO:0016021~integral component of membrane
XM_011421257	GO:0016021~integral component of membrane
XM_011421256	GO:0016021~integral component of membrane
XM_011421258	GO:0005886~plasma membrane
XM_011421256	GO:0005886~plasma membrane
XM_011421261	GO:0016021~integral component of membrane
XM_011421261	GO:0005921~gap junction
XM_011421262	GO:0005921~gap junction
XM_011421265	GO:0016021~integral component of membrane
XM_011421562	GO:0005622~intracellular
XM_011421754	GO:0016021~integral component of membrane
XM_011421873	GO:0005576~extracellular region
XM_011422009	GO:0005622~intracellular
XM_011421580	GO:0016021~integral component of membrane
XM_011422261	GO:0016021~integral component of membrane
XM_011422262	GO:0016021~integral component of membrane
XM_011422263	GO:0016021~integral component of membrane
XM_011422319	GO:0005634~nucleus
XM_011422467	GO:0016020~membrane
XM_011423982	GO:0005737~cytoplasm
KJ531893	GO:0005576~extracellular region
XM_011425226	GO:0005578~proteinaceous extracellular matrix
XM_011422488	GO:0005623~cell
XM_011422503	GO:0000786~nucleosome
XM_011422636	GO:0005737~cytoplasm
XM_011422637	GO:0005737~cytoplasm
XM_011422637	GO:0005634~nucleus
XM_011423600	GO:0005737~cytoplasm
XM_011423764	GO:0005622~intracellular
XM_011424139	GO:0005840~ribosome
XM_011422838	GO:0016021~integral component of membrane
XM_011422913	GO:0016021~integral component of membrane
XM_011423331	GO:0016021~integral component of membrane
XM_011423388	GO:0005794~Golgi apparatus
XM_011423389	GO:0005783~endoplasmic reticulum
XM_011424004	GO:0016021~integral component of membrane
XM_011424076	GO:0016021~integral component of membrane
XM_011424449	GO:0016021~integral component of membrane
XM_011424481	GO:0016021~integral component of membrane
XM_011424754	GO:0019013~viral nucleocapsid
XM_011424897	GO:0016021~integral component of membrane
XM_011424903	GO:0016021~integral component of membrane
XM_011424989	GO:0032580~Golgi cisterna membrane
XM_011425146	GO:0005901~caveola
XM_011425148	GO:0016021~integral component of membrane
XM_011425150	GO:0000139~Golgi membrane
XM_011425153	GO:0000139~Golgi membrane
XM_011425247	GO:0031307~integral component of mitochondrial outer membrane
XM_011425292	GO:0005634~nucleus
XM_011425423	GO:0016459~myosin complex
XM_011425424	GO:0016459~myosin complex
XM_011425425	GO:0016459~myosin complex
XM_011425425	GO:0016021~integral component of membrane
XM_011426154	GO:0005737~cytoplasm
XM_011426361	GO:0005730~nucleolus
XM_011426544	GO:0005622~intracellular
XM_011425625	GO:0008076~voltage-gated potassium channel complex
XM_011425612	GO:0008076~voltage-gated potassium channel complex
XM_011425608	GO:0000502~proteasome complex
XM_011425781	GO:0005622~intracellular
XM_011425925	GO:0005737~cytoplasm
XM_011425942	GO:0016021~integral component of membrane
XM_011426213	GO:0005622~intracellular
XM_011426211	GO:0005622~intracellular
XM_011426464	GO:0043564~Ku70:Ku80 complex
XM_011426524	GO:0016021~integral component of membrane
XM_011426608	GO:0016021~integral component of membrane
XM_011426609	GO:0016021~integral component of membrane
XM_011427482	GO:0005622~intracellular
XM_011427986	GO:0016021~integral component of membrane
XM_011428607	GO:0005576~extracellular region
XM_011429370	GO:0005622~intracellular
XM_011429376	GO:0005622~intracellular
XM_011429525	GO:0016020~membrane
XM_011429622	GO:0005737~cytoplasm
XM_011429928	GO:0005576~extracellular region
XM_011426748	GO:0005852~eukaryotic translation initiation factor 3 complex
XM_011426756	GO:0005852~eukaryotic translation initiation factor 3 complex
